        Time     State_1     State_2     State_3
      0.0000      1.0000      0.0000      0.0000
      0.5236      0.8660      0.5000      0.0000
      1.0472      0.5000      0.8660      0.0000
      1.5708      0.0000      1.0000      0.0000
      2.0944     -0.5000      0.8660      0.0000
      2.6180     -0.8660      0.5000      0.0000
      3.1416     -1.0000      0.0000      0.0000
      3.6652     -0.8660     -0.5000      0.0000
      4.1888     -0.5000     -0.8660      0.0000
      4.7124     -0.0000     -1.0000      0.0000
      5.2360      0.5000     -0.8660      0.0000
      5.7596      0.8660     -0.5000      0.0000
      6.2832      1.0000     -0.0000      0.0000
      6.8068      0.8660      0.5000      0.0000
      7.3304      0.5000      0.8660      0.0000
      7.8540      0.0000      1.0000      0.0000
      8.3776     -0.5000      0.8660      0.0000
      8.9012     -0.8660      0.5000      0.0000
      9.4248     -1.0000      0.0000      0.0000
      9.9484     -0.8660     -0.5000      0.0000
     10.4720     -0.5000     -0.8660      0.0000
     10.9956     -0.0000     -1.0000      0.0000
     11.5192      0.5000     -0.8660      0.0000
     12.0428      0.8660     -0.5000      0.0000
     12.5664      1.0000     -0.0000      0.0000
