      Time     State_1     State_2
      0.0000      1.3333      0.6667
      0.0370      1.8448     -0.6717
      0.0739      1.8569     -0.9784
      0.1109      1.7432     -1.0047
      0.1478      1.6065     -0.9588
      0.1848      1.4738     -0.8979
      0.2218      1.3518     -0.8373
      0.2587      1.2411     -0.7810
      0.2957      1.1410     -0.7293
      0.3326      1.0506     -0.6822
      0.3696      0.9688     -0.6391
      0.4066      0.8947     -0.5997
      0.4435      0.8274     -0.5634
      0.4805      0.7663     -0.5300
      0.5174      0.7106     -0.4992
      0.5544      0.6597     -0.4705
      0.5914      0.6130     -0.4438
      0.6283      0.5702     -0.4188
      0.6653      0.5308     -0.3953
      0.7022      0.4943     -0.3731
      0.7392      0.4605     -0.3521
      0.7762      0.4290     -0.3321
      0.8131      0.3996     -0.3130
      0.8501      0.3721     -0.2946
      0.8870      0.3462     -0.2769
      0.9240      0.3217     -0.2598
      0.9610      0.2985     -0.2431
      0.9979      0.2764     -0.2269
      1.0349      0.2553     -0.2111
      1.0718      0.2351     -0.1956
      1.1088      0.2157     -0.1804
      1.1458      0.1969     -0.1654
      1.1827      0.1788     -0.1507
      1.2197      0.1612     -0.1361
      1.2566      0.1441     -0.1217
      1.2936      0.1274     -0.1075
      1.3306      0.1111     -0.0934
      1.3675      0.0952     -0.0794
      1.4045      0.0795     -0.0655
      1.4414      0.0642     -0.0517
      1.4784      0.0492     -0.0381
      1.5154      0.0344     -0.0245
      1.5523      0.0199     -0.0111
      1.5893      0.0055      0.0022
      1.6262     -0.0085      0.0154
      1.6632     -0.0224      0.0285
      1.7002     -0.0361      0.0414
      1.7371     -0.0495      0.0542
      1.7741     -0.0627      0.0669
      1.8110     -0.0757      0.0794
      1.8480     -0.0885      0.0917
      1.8850     -0.1010      0.1038
      1.9219     -0.1133      0.1158
      1.9589     -0.1254      0.1275
      1.9958     -0.1372      0.1391
      2.0328     -0.1488      0.1504
      2.0698     -0.1601      0.1615
      2.1067     -0.1711      0.1723
      2.1437     -0.1819      0.1829
      2.1806     -0.1924      0.1932
      2.2176     -0.2025      0.2032
      2.2546     -0.2123      0.2129
      2.2915     -0.2219      0.2223
      2.3285     -0.2311      0.2314
      2.3654     -0.2399      0.2402
      2.4024     -0.2484      0.2486
      2.4394     -0.2565      0.2567
      2.4763     -0.2643      0.2644
      2.5133     -0.2717      0.2718
      2.5502     -0.2787      0.2788
      2.5872     -0.2853      0.2853
      2.6242     -0.2915      0.2915
      2.6611     -0.2973      0.2973
      2.6981     -0.3027      0.3027
      2.7350     -0.3077      0.3077
      2.7720     -0.3122      0.3122
      2.8090     -0.3163      0.3163
      2.8459     -0.3200      0.3200
      2.8829     -0.3232      0.3232
      2.9198     -0.3260      0.3260
      2.9568     -0.3283      0.3283
      2.9938     -0.3302      0.3302
      3.0307     -0.3316      0.3316
      3.0677     -0.3326      0.3326
      3.1046     -0.3331      0.3331
      3.1416     -0.3331      0.3332
      3.1786     -0.3327      0.3328
      3.2155     -0.3319      0.3320
      3.2525     -0.3305      0.3307
      3.2894     -0.3288      0.3289
      3.3264     -0.3266      0.3267
      3.3634     -0.3239      0.3241
      3.4003     -0.3208      0.3210
      3.4373     -0.3172      0.3175
      3.4742     -0.3132      0.3135
      3.5112     -0.3088      0.3091
      3.5482     -0.3040      0.3043
      3.5851     -0.2987      0.2991
      3.6221     -0.2931      0.2934
      3.6590     -0.2870      0.2874
      3.6960     -0.2806      0.2810
      3.7330     -0.2737      0.2741
      3.7699     -0.2665      0.2670
      3.8069     -0.2589      0.2594
      3.8438     -0.2510      0.2515
      3.8808     -0.2427      0.2432
      3.9178     -0.2341      0.2347
      3.9547     -0.2252      0.2257
      3.9917     -0.2160      0.2165
      4.0286     -0.2064      0.2070
      4.0656     -0.1966      0.1972
      4.1026     -0.1865      0.1872
      4.1395     -0.1762      0.1768
      4.1765     -0.1656      0.1663
      4.2134     -0.1548      0.1555
      4.2504     -0.1438      0.1445
      4.2873     -0.1326      0.1333
      4.3243     -0.1212      0.1219
      4.3613     -0.1097      0.1104
      4.3982     -0.0980      0.0987
      4.4352     -0.0861      0.0868
      4.4721     -0.0742      0.0749
      4.5091     -0.0621      0.0628
      4.5461     -0.0500      0.0507
      4.5830     -0.0377      0.0385
      4.6200     -0.0255      0.0262
      4.6569     -0.0132      0.0139
      4.6939     -0.0009      0.0016
      4.7309      0.0115     -0.0107
      4.7678      0.0238     -0.0230
      4.8048      0.0360     -0.0353
      4.8417      0.0482     -0.0475
      4.8787      0.0604     -0.0597
      4.9157      0.0725     -0.0717
      4.9526      0.0844     -0.0837
      4.9896      0.0963     -0.0956
      5.0265      0.1080     -0.1073
      5.0635      0.1196     -0.1189
      5.1005      0.1310     -0.1303
      5.1374      0.1423     -0.1416
      5.1744      0.1533     -0.1526
      5.2113      0.1641     -0.1635
      5.2483      0.1747     -0.1741
      5.2853      0.1851     -0.1845
      5.3222      0.1952     -0.1946
      5.3592      0.2051     -0.2045
      5.3961      0.2147     -0.2141
      5.4331      0.2239     -0.2234
      5.4701      0.2329     -0.2324
      5.5070      0.2416     -0.2410
      5.5440      0.2499     -0.2494
      5.5809      0.2579     -0.2574
      5.6179      0.2655     -0.2650
      5.6549      0.2728     -0.2723
      5.6918      0.2797     -0.2792
      5.7288      0.2862     -0.2858
      5.7657      0.2923     -0.2919
      5.8027      0.2980     -0.2977
      5.8397      0.3033     -0.3030
      5.8766      0.3082     -0.3079
      5.9136      0.3127     -0.3124
      5.9505      0.3168     -0.3165
      5.9875      0.3204     -0.3202
      6.0245      0.3236     -0.3234
      6.0614      0.3263     -0.3261
      6.0984      0.3286     -0.3285
      6.1353      0.3304     -0.3303
      6.1723      0.3318     -0.3318
      6.2093      0.3328     -0.3327
      6.2462      0.3333     -0.3332
      6.2832      0.3333     -0.3333
      6.3201      0.3329     -0.3329
      6.3571      0.3320     -0.3321
      6.3941      0.3307     -0.3307
      6.4310      0.3289     -0.3290
      6.4680      0.3266     -0.3268
      6.5049      0.3240     -0.3241
      6.5419      0.3209     -0.3210
      6.5789      0.3173     -0.3175
      6.6158      0.3133     -0.3135
      6.6528      0.3089     -0.3091
      6.6897      0.3040     -0.3043
      6.7267      0.2988     -0.2991
      6.7637      0.2931     -0.2935
      6.8006      0.2870     -0.2874
      6.8376      0.2806     -0.2810
      6.8745      0.2737     -0.2742
      6.9115      0.2665     -0.2670
      6.9485      0.2590     -0.2594
      6.9854      0.2510     -0.2515
      7.0224      0.2427     -0.2432
      7.0593      0.2341     -0.2347
      7.0963      0.2252     -0.2258
      7.1333      0.2160     -0.2165
      7.1702      0.2064     -0.2070
      7.2072      0.1966     -0.1972
      7.2441      0.1865     -0.1872
      7.2811      0.1762     -0.1768
      7.3181      0.1656     -0.1663
      7.3550      0.1548     -0.1555
      7.3920      0.1438     -0.1445
      7.4289      0.1326     -0.1333
      7.4659      0.1212     -0.1219
      7.5029      0.1097     -0.1104
      7.5398      0.0980     -0.0987
      7.5768      0.0861     -0.0868
      7.6137      0.0742     -0.0749
      7.6507      0.0621     -0.0628
      7.6877      0.0500     -0.0507
      7.7246      0.0377     -0.0385
      7.7616      0.0255     -0.0262
      7.7985      0.0132     -0.0139
      7.8355      0.0009     -0.0016
      7.8725     -0.0115      0.0107
      7.9094     -0.0238      0.0230
      7.9464     -0.0360      0.0353
      7.9833     -0.0482      0.0475
