        Time     State_1     State_2     State_3
      0.0000    100.0000      0.0000      0.0000
      0.0100     99.0050      0.9900      0.0050
      0.0200     98.0200      1.9604      0.0196
      0.0300     97.0450      2.9113      0.0437
      0.0400     96.0800      3.8432      0.0769
      0.0500     95.1249      4.7562      0.1189
      0.0600     94.1798      5.6506      0.1695
      0.0700     93.2447      6.5269      0.2284
      0.0800     92.3195      7.3851      0.2954
      0.0900     91.4042      8.2256      0.3701
      0.1000     90.4988      9.0488      0.4524
      0.1100     89.6033      9.8547      0.5420
      0.1200     88.7176     10.6438      0.6386
      0.1300     87.8417     11.4163      0.7420
      0.1400     86.9756     12.1724      0.8520
      0.1500     86.1192     12.9124      0.9684
      0.1600     85.2726     13.6366      1.0908
      0.1700     84.4356     14.3452      1.2192
      0.1800     83.6082     15.0385      1.3533
      0.1900     82.7905     15.7167      1.4928
      0.2000     81.9822     16.3801      1.6377
      0.2100     81.1835     17.0288      1.7876
      0.2200     80.3943     17.6632      1.9424
      0.2300     79.6145     18.2835      2.1020
      0.2400     78.8440     18.8899      2.2660
      0.2500     78.0829     19.4827      2.4344
      0.2600     77.3311     20.0620      2.6069
      0.2700     76.5884     20.6282      2.7834
      0.2800     75.8549     21.1813      2.9638
      0.2900     75.1306     21.7217      3.1477
      0.3000     74.4153     22.2496      3.3352
      0.3100     73.7090     22.7651      3.5260
      0.3200     73.0116     23.2685      3.7199
      0.3300     72.3231     23.7600      3.9169
      0.3400     71.6434     24.2398      4.1167
      0.3500     70.9725     24.7082      4.3193
      0.3600     70.3104     25.1652      4.5245
      0.3700     69.6568     25.6111      4.7321
      0.3800     69.0118     26.0462      4.9420
      0.3900     68.3754     26.4705      5.1541
      0.4000     67.7474     26.8843      5.3683
      0.4100     67.1278     27.2878      5.5844
      0.4200     66.5165     27.6812      5.8023
      0.4300     65.9135     28.0646      6.0219
      0.4400     65.3187     28.4382      6.2431
      0.4500     64.7319     28.8023      6.4658
      0.4600     64.1533     29.1569      6.6898
      0.4700     63.5827     29.5022      6.9151
      0.4800     63.0199     29.8385      7.1415
      0.4900     62.4651     30.1659      7.3690
      0.5000     61.9180     30.4846      7.5974
      0.5100     61.3786     30.7947      7.8267
      0.5200     60.8469     31.0963      8.0568
      0.5300     60.3228     31.3897      8.2875
      0.5400     59.8062     31.6750      8.5188
      0.5500     59.2970     31.9524      8.7506
      0.5600     58.7952     32.2220      8.9828
      0.5700     58.3008     32.4839      9.2153
      0.5800     57.8135     32.7384      9.4481
      0.5900     57.3334     32.9855      9.6811
      0.6000     56.8604     33.2254      9.9142
      0.6100     56.3945     33.4582     10.1473
      0.6200     55.9355     33.6841     10.3804
      0.6300     55.4834     33.9033     10.6134
      0.6400     55.0381     34.1158     10.8462
      0.6500     54.5995     34.3218     11.0787
      0.6600     54.1676     34.5214     11.3110
      0.6700     53.7423     34.7147     11.5429
      0.6800     53.3236     34.9020     11.7744
      0.6900     52.9113     35.0832     12.0055
      0.7000     52.5055     35.2586     12.2360
      0.7100     52.1059     35.4282     12.4659
      0.7200     51.7126     35.5922     12.6952
      0.7300     51.3255     35.7506     12.9238
      0.7400     50.9446     35.9037     13.1517
      0.7500     50.5697     36.0515     13.3788
      0.7600     50.2007     36.1941     13.6052
      0.7700     49.8377     36.3317     13.8306
      0.7800     49.4806     36.4643     14.0552
      0.7900     49.1292     36.5920     14.2788
      0.8000     48.7835     36.7150     14.5014
      0.8100     48.4435     36.8334     14.7230
      0.8200     48.1091     36.9473     14.9436
      0.8300     47.7802     37.0567     15.1631
