Not an increasing function; f(u)=-0.149955, f(l)=0.100000

	 l			 m 			 u
    0.6931    5.3466   10.0000
    0.6931    3.0199    5.3466
    0.6931    1.8565    3.0199
    0.6931    1.2748    1.8565
    1.2748    1.5657    1.8565
    1.5657    1.7111    1.8565
    1.5657    1.6384    1.7111
    1.6384    1.6747    1.7111
    1.6747    1.6929    1.7111
    1.6929    1.7020    1.7111
    1.6929    1.6975    1.7020
    1.6929    1.6952    1.6975
    1.6929    1.6940    1.6952
    1.6940    1.6946    1.6952
    1.6940    1.6943    1.6946
    1.6940    1.6942    1.6943
    1.6940    1.6941    1.6942
    1.6940    1.6941    1.6941
    1.6940    1.6941    1.6941
    1.6940    1.6941    1.6941
    1.6941    1.6941    1.6941
    1.6941    1.6941    1.6941
    1.6941    1.6941    1.6941
    1.6941    1.6941    1.6941


For Given function, the root is:        1.6941
