        Time     State_1     State_2     State_3
      0.0000      0.0000      0.0000      0.0000
      0.0100      0.0099      0.0001      0.0000
      0.0200      0.0194      0.0004      0.0002
      0.0300      0.0287      0.0009      0.0004
      0.0400      0.0377      0.0015      0.0008
      0.0500      0.0465      0.0023      0.0012
      0.0600      0.0550      0.0033      0.0017
      0.0700      0.0632      0.0045      0.0023
      0.0800      0.0713      0.0058      0.0030
      0.0900      0.0791      0.0072      0.0037
      0.1000      0.0867      0.0088      0.0045
      0.1100      0.0941      0.0105      0.0054
      0.1200      0.1012      0.0123      0.0064
      0.1300      0.1082      0.0143      0.0075
      0.1400      0.1150      0.0164      0.0086
      0.1500      0.1217      0.0186      0.0098
      0.1600      0.1281      0.0209      0.0110
      0.1700      0.1344      0.0233      0.0123
      0.1800      0.1405      0.0258      0.0137
      0.1900      0.1465      0.0284      0.0151
      0.2000      0.1523      0.0311      0.0166
      0.2100      0.1580      0.0338      0.0182
      0.2200      0.1635      0.0367      0.0198
      0.2300      0.1689      0.0397      0.0215
      0.2400      0.1742      0.0427      0.0232
      0.2500      0.1793      0.0458      0.0249
      0.2600      0.1843      0.0489      0.0268
      0.2700      0.1892      0.0522      0.0286
      0.2800      0.1940      0.0555      0.0305
      0.2900      0.1987      0.0588      0.0325
      0.3000      0.2033      0.0622      0.0345
      0.3100      0.2077      0.0657      0.0366
      0.3200      0.2121      0.0692      0.0387
      0.3300      0.2164      0.0728      0.0408
      0.3400      0.2206      0.0764      0.0430
      0.3500      0.2247      0.0801      0.0452
      0.3600      0.2287      0.0838      0.0475
      0.3700      0.2326      0.0876      0.0498
      0.3800      0.2365      0.0914      0.0521
      0.3900      0.2403      0.0952      0.0545
      0.4000      0.2440      0.0991      0.0569
      0.4100      0.2476      0.1030      0.0594
      0.4200      0.2512      0.1069      0.0619
      0.4300      0.2547      0.1109      0.0644
      0.4400      0.2581      0.1149      0.0670
      0.4500      0.2615      0.1189      0.0696
      0.4600      0.2648      0.1230      0.0722
      0.4700      0.2681      0.1270      0.0749
      0.4800      0.2713      0.1311      0.0776
      0.4900      0.2744      0.1353      0.0803
      0.5000      0.2775      0.1394      0.0831
      0.5100      0.2806      0.1436      0.0859
      0.5200      0.2836      0.1478      0.0887
      0.5300      0.2865      0.1520      0.0915
      0.5400      0.2894      0.1562      0.0944
      0.5500      0.2923      0.1604      0.0973
      0.5600      0.2951      0.1647      0.1003
      0.5700      0.2979      0.1689      0.1032
      0.5800      0.3006      0.1732      0.1062
      0.5900      0.3033      0.1775      0.1092
      0.6000      0.3059      0.1818      0.1123
      0.6100      0.3086      0.1861      0.1154
      0.6200      0.3111      0.1904      0.1185
      0.6300      0.3137      0.1947      0.1216
      0.6400      0.3162      0.1991      0.1247
      0.6500      0.3187      0.2034      0.1279
      0.6600      0.3212      0.2077      0.1311
      0.6700      0.3236      0.2121      0.1343
      0.6800      0.3260      0.2164      0.1376
      0.6900      0.3284      0.2208      0.1408
      0.7000      0.3307      0.2252      0.1441
      0.7100      0.3330      0.2295      0.1475
      0.7200      0.3353      0.2339      0.1508
      0.7300      0.3376      0.2383      0.1542
      0.7400      0.3398      0.2426      0.1576
      0.7500      0.3420      0.2470      0.1610
      0.7600      0.3442      0.2514      0.1644
      0.7700      0.3464      0.2557      0.1678
      0.7800      0.3486      0.2601      0.1713
      0.7900      0.3507      0.2645      0.1748
      0.8000      0.3528      0.2688      0.1783
      0.8100      0.3549      0.2732      0.1819
      0.8200      0.3570      0.2776      0.1854
      0.8300      0.3590      0.2819      0.1890
      0.8400      0.3611      0.2863      0.1926
      0.8500      0.3631      0.2907      0.1962
      0.8600      0.3651      0.2950      0.1999
      0.8700      0.3671      0.2994      0.2035
      0.8800      0.3691      0.3037      0.2072
      0.8900      0.3710      0.3080      0.2109
      0.9000      0.3730      0.3124      0.2146
      0.9100      0.3749      0.3167      0.2184
      0.9200      0.3768      0.3210      0.2221
      0.9300      0.3787      0.3254      0.2259
      0.9400      0.3806      0.3297      0.2297
      0.9500      0.3825      0.3340      0.2335
      0.9600      0.3843      0.3383      0.2374
      0.9700      0.3862      0.3426      0.2412
      0.9800      0.3880      0.3469      0.2451
      0.9900      0.3898      0.3512      0.2490
      1.0000      0.3916      0.3555      0.2529
      1.0100      0.3934      0.3597      0.2568
      1.0200      0.3952      0.3640      0.2608
      1.0300      0.3970      0.3683      0.2647
      1.0400      0.3988      0.3725      0.2687
      1.0500      0.4005      0.3768      0.2727
      1.0600      0.4023      0.3810      0.2767
      1.0700      0.4040      0.3852      0.2807
      1.0800      0.4057      0.3895      0.2848
      1.0900      0.4075      0.3937      0.2888
      1.1000      0.4092      0.3979      0.2929
      1.1100      0.4109      0.4021      0.2970
      1.1200      0.4126      0.4063      0.3011
      1.1300      0.4142      0.4105      0.3053
      1.1400      0.4159      0.4147      0.3094
      1.1500      0.4176      0.4188      0.3136
      1.1600      0.4192      0.4230      0.3178
      1.1700      0.4209      0.4271      0.3220
      1.1800      0.4225      0.4313      0.3262
      1.1900      0.4242      0.4354      0.3304
      1.2000      0.4258      0.4395      0.3347
      1.2100      0.4274      0.4436      0.3390
      1.2200      0.4290      0.4478      0.3432
      1.2300      0.4306      0.4519      0.3475
      1.2400      0.4322      0.4559      0.3518
      1.2500      0.4338      0.4600      0.3562
      1.2600      0.4354      0.4641      0.3605
      1.2700      0.4370      0.4682      0.3649
      1.2800      0.4385      0.4722      0.3693
      1.2900      0.4401      0.4763      0.3737
      1.3000      0.4417      0.4803      0.3781
      1.3100      0.4432      0.4843      0.3825
      1.3200      0.4447      0.4883      0.3869
      1.3300      0.4463      0.4923      0.3914
      1.3400      0.4478      0.4963      0.3959
      1.3500      0.4493      0.5003      0.4003
      1.3600      0.4509      0.5043      0.4048
      1.3700      0.4524      0.5083      0.4094
      1.3800      0.4539      0.5122      0.4139
      1.3900      0.4554      0.5162      0.4184
      1.4000      0.4569      0.5201      0.4230
      1.4100      0.4584      0.5241      0.4276
      1.4200      0.4599      0.5280      0.4322
      1.4300      0.4613      0.5319      0.4368
      1.4400      0.4628      0.5358      0.4414
      1.4500      0.4643      0.5397      0.4460
      1.4600      0.4658      0.5436      0.4507
      1.4700      0.4672      0.5474      0.4553
      1.4800      0.4687      0.5513      0.4600
      1.4900      0.4701      0.5552      0.4647
      1.5000      0.4716      0.5590      0.4694
      1.5100      0.4730      0.5628      0.4741
      1.5200      0.4744      0.5667      0.4789
      1.5300      0.4759      0.5705      0.4836
      1.5400      0.4773      0.5743      0.4884
      1.5500      0.4787      0.5781      0.4932
      1.5600      0.4801      0.5819      0.4980
      1.5700      0.4816      0.5857      0.5028
      1.5800      0.4830      0.5894      0.5076
      1.5900      0.4844      0.5932      0.5124
      1.6000      0.4858      0.5969      0.5173
      1.6100      0.4872      0.6007      0.5222
      1.6200      0.4885      0.6044      0.5270
      1.6300      0.4899      0.6081      0.5319
      1.6400      0.4913      0.6119      0.5368
      1.6500      0.4927      0.6156      0.5418
      1.6600      0.4941      0.6192      0.5467
      1.6700      0.4954      0.6229      0.5516
      1.6800      0.4968      0.6266      0.5566
      1.6900      0.4982      0.6303      0.5616
      1.7000      0.4995      0.6339      0.5666
      1.7100      0.5009      0.6376      0.5716
      1.7200      0.5022      0.6412      0.5766
      1.7300      0.5036      0.6448      0.5816
      1.7400      0.5049      0.6485      0.5866
      1.7500      0.5062      0.6521      0.5917
      1.7600      0.5076      0.6557      0.5968
      1.7700      0.5089      0.6593      0.6019
      1.7800      0.5102      0.6628      0.6070
      1.7900      0.5115      0.6664      0.6121
      1.8000      0.5129      0.6700      0.6172
      1.8100      0.5142      0.6735      0.6223
      1.8200      0.5155      0.6771      0.6275
      1.8300      0.5168      0.6806      0.6326
      1.8400      0.5181      0.6841      0.6378
      1.8500      0.5194      0.6876      0.6430
      1.8600      0.5207      0.6911      0.6482
      1.8700      0.5220      0.6946      0.6534
      1.8800      0.5232      0.6981      0.6586
      1.8900      0.5245      0.7016      0.6639
      1.9000      0.5258      0.7051      0.6691
      1.9100      0.5271      0.7085      0.6744
      1.9200      0.5283      0.7120      0.6797
      1.9300      0.5296      0.7154      0.6849
      1.9400      0.5309      0.7189      0.6903
      1.9500      0.5321      0.7223      0.6956
      1.9600      0.5334      0.7257      0.7009
      1.9700      0.5347      0.7291      0.7062
      1.9800      0.5359      0.7325      0.7116
      1.9900      0.5371      0.7359      0.7170
      2.0000      0.5384      0.7393      0.7223
